technical_skills,soft_skills,education,experience,career_interest,career
python machine learning data analysis numpy pandas,analytical problem solving teamwork,btech computer science,internship projects,ai data science,Data Scientist
python scikit-learn data mining statistics visualization,analytical critical thinking research,mtech data science,2 years data analysis,ai data science,Data Scientist
r python tableau data wrangling feature engineering,analytical detail oriented teamwork,msc statistics,1 year analytics,data science analytics,Data Scientist
python spark hadoop big data sql machine learning,analytical problem solving communication,btech computer science,3 years big data,data engineering,Data Scientist
tensorflow keras deep learning nlp data analysis,research analytical problem solving,mtech ai,research internship,machine learning ai,Data Scientist
python flask web development html css javascript,communication teamwork creativity,btech computer science,2 years web development,software development,Software Engineer
java spring boot rest api microservices,problem solving leadership teamwork,btech information technology,3 years java,software development,Software Engineer
c++ algorithms data structures system design,analytical problem solving attention to detail,btech computer science,2 years software,software engineering,Software Engineer
python javascript docker git agile development,communication teamwork problem solving,btech computer science,intern projects,software development,Software Engineer
golang python backend rest api testing,analytical teamwork communication,btech computer science,2 years backend,software development,Software Engineer
react javascript html css nodejs typescript,creativity communication teamwork,btech computer science,2 years frontend,web development,Frontend Developer
vue angular html css javascript responsive design,creativity problem solving teamwork,btech computer science,2 years frontend,web frontend,Frontend Developer
javascript html css bootstrap figma frontend testing,creativity communication detail oriented,bsc it,1 year frontend,web design development,Frontend Developer
react native html css js ui components,creativity teamwork communication,btech computer science,intern 1 year,frontend development,Frontend Developer
nextjs react tailwind css javascript,creativity problem solving teamwork,btech computer science,2 years web,frontend software,Frontend Developer
python tensorflow keras deep learning computer vision nlp,analytical research problem solving,mtech ai,research projects,ai machine learning,AI/ML Engineer
pytorch machine learning transformers bert model training,research analytical problem solving,mtech ai ml,phd research,deep learning ai,AI/ML Engineer
python sklearn xgboost model deployment mlops,analytical problem solving teamwork,btech computer science,2 years ml,machine learning engineering,AI/ML Engineer
machine learning python feature engineering hyperparameter tuning,analytical detail oriented research,msc data science,intern research,ml ai,AI/ML Engineer
deep learning cnn rnn lstm python tensorflow,research analytical problem solving,mtech computer science,research internship,ai deep learning,AI/ML Engineer
aws cloud computing docker kubernetes terraform,problem solving teamwork communication,btech computer science,3 years cloud,cloud computing,Cloud Engineer
azure cloud devops arm templates,problem solving analytical teamwork,btech information technology,2 years azure,cloud microsoft,Cloud Engineer
gcp google cloud platform bigquery dataflow,problem solving teamwork communication,btech computer science,2 years gcp,cloud google,Cloud Engineer
aws lambda serverless microservices cloud architecture,problem solving analytical communication,btech computer science,3 years aws,cloud architecture,Cloud Engineer
cloud infrastructure kubernetes helm monitoring,analytical problem solving teamwork,btech it,2 years cloud,cloud devops,Cloud Engineer
devops jenkins cicd docker kubernetes terraform,problem solving teamwork analytical,btech computer science,3 years devops,devops cloud,DevOps Engineer
git jenkins docker ansible ci cd pipelines,problem solving communication teamwork,btech computer science,2 years devops,devops automation,DevOps Engineer
kubernetes helm prometheus grafana monitoring,analytical problem solving teamwork,btech it,3 years sre,site reliability devops,DevOps Engineer
bash scripting linux python automation infrastructure,problem solving analytical teamwork,btech computer science,2 years linux admin,devops infrastructure,DevOps Engineer
terraform ansible aws devops infrastructure as code,analytical problem solving communication,btech computer science,2 years cloud,devops cloud,DevOps Engineer
cybersecurity ethical hacking penetration testing network security,analytical problem solving attention to detail,btech cybersecurity,2 years security,cybersecurity,Cybersecurity Analyst
kali linux burpsuite nmap wireshark ceh,analytical problem solving attention to detail,btech cybersecurity,2 years pentesting,ethical hacking security,Cybersecurity Analyst
siem splunk incident response threat hunting,analytical problem solving communication,btech information security,3 years security ops,cybersecurity operations,Cybersecurity Analyst
network security firewall ids ips vulnerability assessment,analytical detail oriented teamwork,btech networking,2 years network security,network cybersecurity,Cybersecurity Analyst
iso 27001 gdpr risk management security audit,analytical communication problem solving,btech mba security,3 years security,information security,Cybersecurity Analyst
sql database mysql postgresql data warehousing,analytical attention to detail,btech information technology,2 years database admin,data management,Database Administrator
oracle dba mysql performance tuning backup recovery,analytical problem solving attention to detail,btech it,3 years dba,database management,Database Administrator
mongodb cassandra nosql database design,analytical problem solving teamwork,btech computer science,2 years nosql,database nosql,Database Administrator
sql server administration replication high availability,analytical attention to detail problem solving,btech it,3 years sql server,sql database,Database Administrator
postgresql plsql stored procedures database optimization,analytical detail oriented communication,btech computer science,2 years postgres,database development,Database Administrator
java android kotlin mobile development,creativity problem solving teamwork,btech computer science,2 years mobile dev,mobile development,Android Developer
android studio java xml firebase,creativity teamwork problem solving,btech computer science,1 year android,android mobile,Android Developer
kotlin jetpack compose android architecture,creativity problem solving teamwork,btech computer science,2 years android,mobile android,Android Developer
android sdk rest api integration mobile ui,creativity communication problem solving,btech it,intern 1 year,android development,Android Developer
java kotlin android testing mvvm,analytical creativity problem solving,btech computer science,2 years android,mobile development,Android Developer
swift ios xcode mobile development objective c,creativity problem solving communication,btech computer science,2 years ios,mobile development,iOS Developer
swiftui ios apple watchos,creativity problem solving teamwork,btech computer science,2 years ios,ios mobile,iOS Developer
react native ios swift mobile apps,creativity communication problem solving,btech computer science,2 years mobile,ios mobile development,iOS Developer
ios sdk core data combine swift,creativity analytical problem solving,btech computer science,intern 1 year,ios development,iOS Developer
objective c swift ios performance optimization,creativity problem solving detail oriented,btech computer science,2 years ios dev,ios engineering,iOS Developer
product management roadmap agile user research,leadership communication analytical,btech mba,3 years product,product management,Product Manager
jira confluence product strategy agile scrum,leadership communication problem solving,mba,3 years product,product strategy,Product Manager
user research ab testing product metrics analytics,analytical leadership communication,btech mba,2 years product,product analytics,Product Manager
roadmap prioritization stakeholder management okrs,leadership communication analytical,mba,4 years product,product leadership,Product Manager
product discovery wireframing user stories backlog,communication analytical leadership,btech,2 years pm,product development,Product Manager
project management agile scrum jira leadership,leadership communication problem solving,btech mba,4 years pm,management,Project Manager
pmp agile waterfall risk management stakeholders,leadership communication problem solving,mba,5 years projects,project management,Project Manager
ms project jira confluence sprint planning,leadership analytical communication,btech,3 years pm,project delivery,Project Manager
scrum master agile coaching retrospectives,leadership communication teamwork,btech mba,3 years scrum,agile project,Project Manager
project planning budgeting resource management,leadership analytical communication,mba,4 years management,project operations,Project Manager
ui ux design figma adobe xd wireframing,creativity communication empathy,bdes design,2 years design,design,UI/UX Designer
prototyping usability testing user research figma,creativity empathy communication,bdes,2 years ux,ux design,UI/UX Designer
interaction design visual design sketch invision,creativity communication detail oriented,bdes,2 years ui,ui design,UI/UX Designer
design thinking information architecture user flows,creativity empathy problem solving,bdes,intern 1 year,product design,UI/UX Designer
figma adobe xd responsive design accessibility,creativity communication teamwork,bsc design,2 years design,ui ux,UI/UX Designer
financial analysis investment portfolio management excel,analytical problem solving communication,mba finance,2 years finance,finance investment,Financial Analyst
cfa equity research valuation dcf,analytical problem solving attention to detail,mba finance,3 years equity,investment finance,Financial Analyst
excel financial modeling budgeting forecasting,analytical detail oriented communication,bcom mba,2 years finance,financial planning,Financial Analyst
risk analysis derivatives bloomberg terminal,analytical problem solving communication,mba finance,3 years risk,financial risk,Financial Analyst
financial statements ratio analysis reporting,analytical detail oriented communication,bcom ca,2 years audit,accounting finance,Financial Analyst
marketing digital marketing seo social media google ads,creativity communication leadership,mba marketing,2 years marketing,marketing,Digital Marketing Manager
seo sem google analytics facebook ads,creativity analytical communication,mba marketing,2 years digital,digital marketing,Digital Marketing Manager
content marketing email campaigns hubspot crm,creativity communication analytical,bba marketing,2 years marketing,content marketing,Digital Marketing Manager
brand management market research consumer insights,creativity leadership communication,mba marketing,3 years brand,brand marketing,Digital Marketing Manager
performance marketing roi tracking analytics,analytical communication creativity,mba marketing,2 years performance,digital marketing,Digital Marketing Manager
python django rest api backend development,problem solving teamwork communication,btech computer science,2 years backend,software development,Django Developer
django orm celery redis backend apis,problem solving analytical teamwork,btech computer science,2 years django,python backend,Django Developer
python django postgresql rest framework,analytical problem solving communication,btech it,2 years python,django development,Django Developer
django channels websockets python backend,problem solving teamwork analytical,btech computer science,intern 2 years,python web,Django Developer
nodejs express mongodb javascript backend,problem solving analytical teamwork,btech computer science,2 years nodejs,software development,Node.js Developer
nodejs typescript graphql rest api,problem solving teamwork communication,btech computer science,2 years node,node backend,Node.js Developer
express mongoose jwt authentication nodejs,analytical problem solving teamwork,btech computer science,intern 1 year,nodejs javascript,Node.js Developer
accounting finance taxation gst tally,attention to detail analytical communication,bcom accounting,3 years accounting,finance accounting,Chartered Accountant
ca taxation auditing ifrs financial reporting,attention to detail analytical communication,ca,3 years audit,chartered accountancy,Chartered Accountant
tally sap indirect tax gst compliance,analytical detail oriented communication,bcom ca,2 years taxation,tax accounting,Chartered Accountant
hr recruitment talent management payroll,communication empathy leadership,mba hr,2 years hr,human resources,HR Manager
talent acquisition onboarding performance management,communication empathy leadership,mba hr,3 years hr,hr talent,HR Manager
employee relations hr policies training development,communication empathy problem solving,mba hr,2 years hr,human resources,HR Manager
sales crm negotiation client management,communication leadership persuasion,bba sales,3 years sales,sales business,Sales Manager
b2b sales pipeline management salesforce crm,communication leadership persuasion,mba,3 years sales,sales management,Sales Manager
business development key accounts revenue growth,communication leadership persuasion,mba,3 years bd,business sales,Sales Manager
data analysis excel tableau power bi statistics,analytical attention to detail communication,bsc statistics,2 years analyst,data analysis,Business Analyst
sql excel power bi business requirements,analytical communication detail oriented,bba,2 years analysis,business analysis,Business Analyst
requirements gathering process mapping stakeholders,analytical communication problem solving,mba,3 years business,business analysis,Business Analyst
python r statistics machine learning regression,analytical research problem solving,msc statistics,phd research,research data science,Data Analyst
sql python excel data cleaning reporting,analytical detail oriented communication,bsc,2 years data,data analysis,Data Analyst
tableau power bi kpi dashboards reporting,analytical communication detail oriented,bba mba,2 years reporting,business data,Data Analyst
graphic design photoshop illustrator branding,creativity communication attention to detail,bfa design,3 years graphic design,design,Graphic Designer
adobe photoshop illustrator indesign branding,creativity communication detail oriented,bfa,2 years design,graphic design,Graphic Designer
logo design typography visual identity,creativity attention to detail communication,bdes,2 years design,brand design,Graphic Designer
content writing blogging seo copywriting,creativity communication research,ba english,2 years writing,content media,Content Writer
copywriting social media content strategy,creativity communication research,ba mass comm,2 years content,content marketing,Content Writer
technical writing documentation api content,communication research analytical,btech,2 years writing,technical content,Content Writer
machine learning nlp text mining bert transformers,analytical research problem solving,mtech ai ml,research projects,ai nlp,NLP Engineer
huggingface transformers pytorch nlp text classification,analytical research problem solving,mtech ai,research intern,nlp machine learning,NLP Engineer
python computer vision opencv image processing,analytical research problem solving,mtech computer science,research internship,ai computer vision,Computer Vision Engineer
yolo detectron2 image segmentation deep learning,analytical research problem solving,mtech ai,research projects,computer vision ai,Computer Vision Engineer
blockchain solidity ethereum smart contracts,analytical problem solving creativity,btech computer science,2 years blockchain,blockchain,Blockchain Developer
web3 solidity hardhat defi protocols,analytical problem solving creativity,btech computer science,2 years web3,blockchain defi,Blockchain Developer
supply chain logistics operations management erp,analytical problem solving teamwork,btech mechanical,3 years operations,operations management,Operations Manager
network engineering cisco routing switching,problem solving analytical teamwork,btech networks,2 years networking,networking,Network Engineer
embedded systems c programming arduino raspberry pi,analytical problem solving attention to detail,btech electronics,2 years embedded,electronics,Embedded Systems Engineer
game development unity c# 3d modeling,creativity problem solving teamwork,btech computer science,2 years game dev,game development,Game Developer
python automation testing selenium pytest,analytical problem solving teamwork,btech computer science,2 years testing,software testing,QA Engineer
teaching curriculum development education psychology,communication patience empathy,bed education,3 years teaching,education,Teacher
legal research contract drafting corporate law,analytical communication research,llb law,2 years legal,law,Corporate Lawyer
civil engineering autocad structural design,analytical problem solving attention to detail,btech civil,3 years civil,civil engineering,Civil Engineer
mechanical engineering solidworks cad manufacturing,analytical problem solving teamwork,btech mechanical,3 years mechanical,mechanical engineering,Mechanical Engineer
architecture building design autocad revit,creativity analytical problem solving,b arch,3 years architecture,architecture,Architect
event management planning coordination logistics,communication leadership organization,bba events,2 years events,event management,Event Manager
salesforce crm cloud platform apex,analytical communication teamwork,btech mba,2 years salesforce,crm cloud,Salesforce Developer
sap erp modules implementation,analytical problem solving communication,btech mba,3 years sap,erp management,SAP Consultant
bioinformatics genomics python r biology,analytical research problem solving,msc bioinformatics,research projects,bioinformatics,Bioinformatics Analyst
excel vba data analysis reporting business intelligence,analytical attention to detail communication,bcom,2 years analyst,business analysis,Business Intelligence Analyst
journalism media reporting communication,communication research creativity,ba journalism,2 years journalism,media journalism,Journalist
fashion design textile clothing merchandising,creativity communication attention to detail,bdes fashion,2 years fashion,fashion design,Fashion Designer
interior design space planning autocad,creativity communication attention to detail,bdes interior,2 years interior,interior design,Interior Designer
environmental science sustainability green energy,analytical research communication,msc environmental,research projects,environment,Environmental Consultant
clinical research medical writing pharma,analytical research communication,bpharm mpharm,2 years pharma,pharmaceutical,Clinical Research Associate
electrical engineering plc scada automation,analytical problem solving attention to detail,btech electrical,2 years electrical,electrical engineering,Electrical Engineer
chemical engineering process design plant operations,analytical problem solving teamwork,btech chemical,3 years chemical,chemical engineering,Chemical Engineer